Date,^SSMI,ABBN.SW,NESN.SW,NOVN.SW,CFR.SW,ROG.SW,SREN.SW,SCMN.SW,UBSG.SW,ZURN.SW
7/24/2000,0.0137,0.0114,0.0276,0.0089,-0.0099,0.0182,0.0006,-0.0106,0.0178,0.0102
7/25/2000,0.0007,0.0038,0.0015,0.0031,-0.003,-0.005,0.0053,-0.0071,-0.0042,0.0034
7/26/2000,-0.0012,0,-0.008,-0.0062,-0.0019,0.0028,0,-0.0108,0.0114,-0.0023
7/27/2000,-0.0016,-0.0152,0.0047,-0.0008,0.0054,-0.0161,0.0015,0.0108,0.0021,-0.0114
7/28/2000,0.0007,-0.0038,0.0251,-0.0055,-0.0139,0.0013,0.0015,-0.0036,-0.0031,0.0192
7/31/2000,0.0032,0.0203,0.0035,0.0066,-0.0046,-0.0057,0.0231,0.0018,-0.0052,0.0089
8/2/2000,0.0158,-0.0101,0.008,0.0092,0.0109,0.051,0.0337,0.0018,0.0134,0.022
8/3/2000,-0.0017,-0.0296,0.008,-0.0011,0.0299,0.009,-0.0028,-0.0018,-0.0051,-0.0044
8/4/2000,-0.0022,0.0117,-0.0037,0.0023,0.0311,-0.0182,-0.005,0.0018,0,0.0065
8/7/2000,0.0161,0.009,0.0028,0.0156,-0.0061,0.007,0.0008,0.0018,0.0325,0.0151
8/8/2000,0.0003,0.0013,-0.0077,-0.0045,0.0084,-0.0082,0.0031,-0.0126,0.0295,0.0138
8/9/2000,-0.0009,0.0089,-0.0106,-0.0053,0.0069,0.0043,0.0061,0.0054,0.0058,-0.0042
8/10/2000,-0.0052,-0.0115,-0.0035,-0.0065,-0.0041,-0.0024,-0.0011,0.0178,-0.0058,-0.0064
8/11/2000,0.0041,-0.009,0.0061,0.0004,0.0026,0.0115,0.0025,-0.016,0.0116,0.0074
8/14/2000,0.0045,0.0243,0.0023,0.0034,0.0125,0.0048,-0.005,-0.0018,-0.0019,0.0126
8/15/2000,-0.0028,0.0038,0.0023,0.0023,0.0119,-0.0078,-0.005,-0.0218,-0.0096,-0.001
8/16/2000,0.0082,0.01,0.0097,0.0046,0.0079,-0.0067,-0.0061,-0.0167,0.0116,0.0094
8/17/2000,-0.0069,0.0025,-0.0034,0.0023,-0.0319,-0.043,-0.007,0.0148,0.0019,-0.0125
8/18/2000,-0.0011,-0.0025,-0.0046,-0.0015,0,0.0003,-0.0031,0.0037,0.0095,-0.0031
8/21/2000,0.0046,0.0062,0.0128,0.0091,0.0091,0.006,0.0059,-0.0185,-0.0019,0.0084
